India,1380,2650,5121,Developing,1,1
USA,331,19485,5137,Developed,1,1
Brazil,212,2053,2069,Developing,1,1
Indonesia,273,1015,1075,Developing,1,1
Japan,126,4872,316,Developed,1,1
Egypt,102,235,1314,Developing,1,1
Vietnam,97,223,5522,Developing,1,1
Nigeria,206,376,200,Developing,1,1
Russia,145,1578,5896,Developed,1,1
Turkey,84,851,890,Developing,1,1
North Korea,25,28.5,950,Developing,0,1
